DAV IU +07.087800 +125.574700   +85.0 "BC0 BCE BCI BCN BCZ BHE BHN BHZ EHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SH1 SHU SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Davao, Philippines" 1994,352,00:00:00 1997,318,00:00:00
DAV IU +07.087800 +125.574700   +85.0 "BC0 BCE BCI BCN BCZ BHE BHN BHZ EHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SH1 SHU SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Davao, Philippines" 1997,318,00:00:00 2599,365,23:59:59
DGR CI +33.650000 -117.009500  +609.0 "BHE BHN BHZ BLE BLN BLZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VHE VHN VHZ" "Domenigoni Reservoir, California, USA" 1993,173,00:00:00 2599,365,23:59:59
DJJ CI +34.105800 -118.453800  +245.0 "BHE BHN BHZ LHE LHN LHZ LLE LLN LLZ VHE VHN VHZ" "Donna Jones Jenkins, California, USA" 1998,313,00:00:00 2599,365,23:59:59
DUG US +40.195000 -112.813330 +1477.0 "BHE BHN BHZ BLE BLN BLZ EHE EHN EHZ ELE ELN ELZ HLE HLN HLZ LHE LHN LHZ" "Dugway, Tooele County, Utah, USA" 1993,049,00:00:00 2599,365,23:59:59
DWPF IU +28.110200 -081.432700   +20.0 "BC0 BCI BH1 BH2 BHZ HLE HLN HLZ LH1 LH2 LHZ LLE LLN LLZ UH1 UH2 UHZ VE1 VH1 VH2 VHZ VK1" "Disney Wilderness Preserve, Florida, USA" 1998,214,00:00:00 2599,365,23:59:59
ELK US +40.744840 -115.238780 +2210.0 "BHE BHN BHZ LHE LHN LHZ" "Elko, Nevada, USA" 1994,006,00:00:00 2599,365,23:59:59
EYMN US +47.946190 -091.495000  +475.0 "BHE BHN BHZ BLE BLN BLZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ" "Ely, Minnesota, USA" 1994,269,00:00:00 2599,365,23:59:59
FURI IU +08.903000 +038.688300 +2545.0 "BC0 BC1 BCI BHE BHN BHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ SCI SHE SHN SHZ UHE UHN UHZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Mt. Furi, Ethiopia" 1997,244,00:00:00 2599,365,23:59:59
GLA CI +33.052000 -114.827000  +627.0 "BHE BHN BHZ BLE BLN BLZ EDO HLE HLN HLZ LDI LDO LEB LHE LHN LHZ LKI LLE LLN LLZ LXZ UHE UHN UHZ UME UMN UMZ UXZ VHE VHN VHZ VXZ" "Glamis, California, USA" 1994,118,00:00:00 2599,365,23:59:59
GNI IU +40.053000 +044.724000 +1460.0 "BC0 BCI BHE BHN BHZ EHE EHN EHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ LME LMN LMZ SC1 SCI SHE SHN SHZ UHE UHN UHZ UME UMN UMZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Garni, Armenia" 1991,191,00:00:00 1997,139,00:00:00
GNI IU +40.053000 +044.724000 +1460.0 "BC0 BCI BHE BHN BHZ EHE EHN EHZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ LME LMN LMZ SC1 SCI SHE SHN SHZ UHE UHN UHZ UME UMN UMZ VE1 VHE VHN VHZ VK1 VME VMN VMZ" "Garni, Armenia" 1997,139,00:00:00 2599,365,23:59:59
GOGA US +33.411189 -083.466610  +150.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ" "Godfrey, Georgia, USA" 1993,068,00:00:00 2599,365,23:59:59
GOL US +39.700280 -105.371110 +2359.0 "BHE BHN BHZ HHE HHN HHZ LHE LHN LHZ" "Golden (Bergen Park), Colorado, USA" 1990,292,00:00:00 1996,067,00:00:00
GPO CI +35.649400 -117.661900  +735.0 "BHE BHN BHZ BLE BLN BLZ HHE HHN HHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VHE VHN VHZ" "Geothermal Program Office, California, USA" 1996,012,00:00:00 2599,365,23:59:59
GRFO IU +49.691900 +011.221700  +425.0 "BHE BHN BHZ HHE HHN HHZ LHE LHN LHZ SHZ UHE UHN UHZ VHE VHN VHZ" "Grafenberg, Germany" 1994,026,00:00:00 2599,365,23:59:59
GSC CI +35.301800 -116.805700  +954.0 "BHE BHN BHZ EDO ELE ELN ELZ HLE HLN HLZ LDI LDO LEB LHE LHN LHZ LKI LLE LLN LLZ UHE UHN UHZ UME UMN UMZ VHE VHN VHZ" "Goldstone, California, USA" 1990,220,00:00:00 2599,365,23:59:59
GUMO IU +13.587800 +144.866200   +14.0 "BC0 BCI BHE BHN BHZ ELE ELN ELZ HHE HHN HHZ HLE HLN HLZ LCI LHE LHN LHZ LLE LLN LLZ SCI SHE SHN SHZ SLE SLN SLZ UCI UE1 UHE UHN UHZ VCI VE1 VHE VHN VHZ VK1" "Guam, Marianas Islands" 1991,160,00:00:00 1997,325,00:00:00
GUMO IU +13.587800 +144.866200   +14.0 "BC0 BCI BHE BHN BHZ ELE ELN ELZ HHE HHN HHZ HLE HLN HLZ LCI LHE LHN LHZ LLE LLN LLZ SCI SHE SHN SHZ SLE SLN SLZ UCI UE1 UHE UHN UHZ VCI VE1 VHE VHN VHZ VK1" "Guam, Marianas Islands" 1997,325,00:00:00 2599,365,23:59:59
GWDE US +38.825610 -075.617110   +19.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ" "Greenwood, Delaware, USA" 1995,250,00:00:00 2599,365,23:59:59
HAWA US +46.392502 -119.532639  +364.0 "BHE BHN BHZ LHE LHN LHZ" "Hanford, Washington, USA" 1999,113,00:00:00 2599,365,23:59:59
HKT IU +29.961800 -095.838400  -415.0 "BCE BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UE1 UHE UHN UHZ VE1 VHE VHN VHZ VK1 VKI VME VMN VMZ" "Hockley, Texas" 1995,192,00:00:00 2599,365,23:59:59
HLID US +43.562500 -114.413780 +1772.0 "BHE BHN BHZ HHE HHN HHZ LHE LHN LHZ" "Hailey, Idaho, USA" 1998,222,00:00:00 2599,365,23:59:59
HNR IU -09.432200 +159.947100   +72.0 "BC0 BCE BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VE1 VHE VHN VHZ VK1" "Honiara, Solomon Islands" 1993,295,00:00:00 1998,068,03:50:00
HNR IU -09.432200 +159.947100   +72.0 "BC0 BCE BCN BCZ BHE BHN BHZ HLE HLN HLZ LHE LHN LHZ LLE LLN LLZ UHE UHN UHZ VE1 VHE VHN VHZ VK1" "Honiara, Solomon Islands" 1998,068,03:50:00 2599,365,23:59:59
HRV IU +42.506000 -071.558000  +180.0 "BHE BHN BHZ LHE LHN LHZ UHE UHN UHZ UME UMN UMZ VHE VHN VHZ" "Harvard, Massachusetts, USA" 1988,001,00:00:00 2599,365,23:59:59
HWUT US +41.606890 -111.565190 +1830.0 "BHE BHN BHZ BLE BLN BLZ HLE HLN HLZ LHE LHN LHZ" "Hardware Ranch, Cache County, Utah, USA" 1997,085,00:00:00 2599,365,23:59:59
IL01 IM +64.771600 -146.886100  +418.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL02 IM +64.784700 -146.864300  +261.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
IL03 IM +64.771400 -146.851200  +440.0 "SHZ" "-" 1970,001,00:00:00 2599,365,23:59:59
